condition,cell_id,mitochondria_id,image_category_type,file_name,file_path
shOPA1,1,124,mitochondria_mask,images_shOPA1_cell_001_0124_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0124_mito_imgs.tiff
shOPA1,1,87,mitochondria_mask,images_shOPA1_cell_001_0087_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0087_mito_imgs.tiff
shOPA1,4,1,tubular_cristae_mask,images_shOPA1_cell_004_0001_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_004_0001_tubular_cristae_imgs.tiff
shCtrl,4,15,lamellar_cristae_mask,images_shCtrl_cell_004_0015_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0015_lamellar_cristae_imgs.tiff
shOPA1,2,100,mitochondria_mask,images_shOPA1_cell_002_0100_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0100_mito_imgs.tiff
shOPA1,5,46,tubular_cristae_mask,images_shOPA1_cell_005_0046_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_005_0046_tubular_cristae_imgs.tiff
shOPA1,4,9,original_EM_image,images_shOPA1_cell_004_0009_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_004_0009_ori_imgs.tiff
shCtrl,5,13,mitochondria_mask,images_shCtrl_cell_005_0013_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_005_0013_mito_imgs.tiff
shOPA1,5,24,lamellar_cristae_mask,images_shOPA1_cell_005_0024_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_005_0024_lamellar_cristae_imgs.tiff
shOPA1,2,16,tubular_cristae_mask,images_shOPA1_cell_002_0016_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0016_tubular_cristae_imgs.tiff
shCtrl,4,24,lamellar_cristae_mask,images_shCtrl_cell_004_0024_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0024_lamellar_cristae_imgs.tiff
shOPA1,2,71,mitochondria_mask,images_shOPA1_cell_002_0071_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0071_mito_imgs.tiff
shOPA1,1,58,lamellar_cristae_mask,images_shOPA1_cell_001_0058_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0058_lamellar_cristae_imgs.tiff
shOPA1,2,43,mitochondria_mask,images_shOPA1_cell_002_0043_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0043_mito_imgs.tiff
shOPA1,1,35,lamellar_cristae_mask,images_shOPA1_cell_001_0035_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0035_lamellar_cristae_imgs.tiff
shOPA1,1,127,tubular_cristae_mask,images_shOPA1_cell_001_0127_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0127_tubular_cristae_imgs.tiff
shOPA1,2,93,mitochondria_mask,images_shOPA1_cell_002_0093_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0093_mito_imgs.tiff
shCtrl,4,47,tubular_cristae_mask,images_shCtrl_cell_004_0047_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0047_tubular_cristae_imgs.tiff
shOPA1,1,100,mitochondria_mask,images_shOPA1_cell_001_0100_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0100_mito_imgs.tiff
shCtrl,4,39,lamellar_cristae_mask,images_shCtrl_cell_004_0039_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0039_lamellar_cristae_imgs.tiff
shCtrl,5,19,mitochondria_mask,images_shCtrl_cell_005_0019_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_005_0019_mito_imgs.tiff
shOPA1,1,15,mitochondria_mask,images_shOPA1_cell_001_0015_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0015_mito_imgs.tiff
shOPA1,2,27,lamellar_cristae_mask,images_shOPA1_cell_002_0027_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0027_lamellar_cristae_imgs.tiff
shOPA1,1,141,mitochondria_mask,images_shOPA1_cell_001_0141_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0141_mito_imgs.tiff
shOPA1,5,41,lamellar_cristae_mask,images_shOPA1_cell_005_0041_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_005_0041_lamellar_cristae_imgs.tiff
shOPA1,2,37,lamellar_cristae_mask,images_shOPA1_cell_002_0037_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0037_lamellar_cristae_imgs.tiff
shCtrl,5,3,mitochondria_mask,images_shCtrl_cell_005_0003_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_005_0003_mito_imgs.tiff
shOPA1,4,3,mitochondria_mask,images_shOPA1_cell_004_0003_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_004_0003_mito_imgs.tiff
shOPA1,1,75,original_EM_image,images_shOPA1_cell_001_0075_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0075_ori_imgs.tiff
shOPA1,2,48,tubular_cristae_mask,images_shOPA1_cell_002_0048_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0048_tubular_cristae_imgs.tiff
shOPA1,1,142,lamellar_cristae_mask,images_shOPA1_cell_001_0142_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0142_lamellar_cristae_imgs.tiff
